test;method;NRMSE;PFC
test1;missMDA;0,919787883194695;0,372736954206603
test1;missForest;0,893494706171777;0,34185303514377
test1;missVIMKnn;1,36331442545174;0,462193823216187
test1;missVIMImri;1,24732480226937;0,349307774227902
test1;missVIMImri;1,26765033911326;0,349307774227902
test1;missVIMImri;1,26672820609021;0,349307774227902
test1;missVIMImri;1,24573980101642;0,349307774227902
test1;missVIMImri;1,24192669820831;0,349307774227902
test1;missMice;1,28396890615701;0,466453674121406
test1;missMice;1,26691290817435;0,48136315228967
test1;missMice;1,285474435132;0,488817891373802
test1;missMice;1,26625984516977;0,482428115015974
test1;missMice;1,24778524601438;0,484558040468584
test2;missMDA;0,913692664118065;0,367741935483871
test2;missForest;0,8913958009175;0,352688172043011
test2;missVIMKnn;1,35243730937497;0,455913978494624
test2;missVIMImri;1,22216593825226;0,350537634408602
test2;missVIMImri;1,22729041309339;0,350537634408602
test2;missVIMImri;1,22763101313966;0,350537634408602
test2;missVIMImri;1,22563020654417;0,350537634408602
test2;missVIMImri;1,25139911330205;0,350537634408602
test2;missMice;1,27839609637175;0,496774193548387
test2;missMice;1,2480531750448;0,479569892473118
test2;missMice;1,24443191857267;0,506451612903226
test2;missMice;1,26198254376904;0,503225806451613
test2;missMice;1,26193903059674;0,494623655913978
test3;missMDA;0,891159130908129;0,367432150313152
test3;missForest;0,863546213383328;0,335073068893528
test3;missVIMKnn;1,37070758858822;0,461377870563674
test3;missVIMImri;1,18092097635078;0,3580375782881
test3;missVIMImri;1,20346951127415;0,3580375782881
test3;missVIMImri;1,22976557076582;0,3580375782881
test3;missVIMImri;1,22008048183361;0,3580375782881
test3;missVIMImri;1,20986455908413;0,3580375782881
test3;missMice;1,24968165061282;0,484342379958246
test3;missMice;1,23798596907998;0,470772442588727
test3;missMice;1,21373874295322;0,473903966597077
test3;missMice;1,2266844223653;0,46972860125261
test3;missMice;1,24399278620643;0,473903966597077
test4;missMDA;0,904801776751785;0,372384937238494
test4;missForest;0,884011180920641;0,351464435146443
test4;missVIMKnn;1,34595733773971;0,428870292887029
test4;missVIMImri;1,23630683622091;0,364016736401674
test4;missVIMImri;1,22938590062202;0,364016736401674
test4;missVIMImri;1,19749344449397;0,364016736401674
test4;missVIMImri;1,20305483568088;0,364016736401674
test4;missVIMImri;1,22503684750757;0,364016736401674
test4;missMice;1,2622067909711;0,45397489539749
test4;missMice;1,24558877182182;0,481171548117155
test4;missMice;1,22848154796366;0,464435146443515
test4;missMice;1,26365186477672;0,47489539748954
test4;missMice;1,25838394392294;0,460251046025105
test5;missMDA;0,891645015483964;0,386021505376344
test5;missForest;0,880076948181071;0,361290322580645
test5;missVIMKnn;1,38234355491008;0,431182795698925
test5;missVIMImri;1,22522113257473;0,376344086021505
test5;missVIMImri;1,18095132612252;0,376344086021505
test5;missVIMImri;1,25348506521639;0,376344086021505
test5;missVIMImri;1,19356159729535;0,376344086021505
test5;missVIMImri;1,19778690430198;0,376344086021505
test5;missMice;1,22185345178374;0,5
test5;missMice;1,21863630378856;0,48494623655914
test5;missMice;1,24087697292069;0,489247311827957
test5;missMice;1,22951440513299;0,488172043010753
test5;missMice;1,2659897934468;0,473118279569892
